fn	m	m3	w_c	w_a	why_c	why_a	because_c	because_a
Wells/Rosie/020227.cha	26.9	24.0	64	278	0	0	0	1
Wells/Rosie/020603.cha	30.1	30.0	54	120	0	0	0	0
Wells/Rosie/020910.cha	33.333333333333336	33.0	33	316	0	0	0	0
Wells/Rosie/030000.cha	36.0	36.0	364	737	0	0	0	0
Wells/Rosie/030300.cha	39.0	39.0	147	323	0	0	0	1
Wells/Rosie/030611.cha	42.36666666666667	42.0	36	172	1	0	0	0
Wells/Samantha/010606.cha	18.2	18.0	88	404	0	1	0	1
Wells/Samantha/010907.cha	21.233333333333334	21.0	162	548	0	0	0	0
Wells/Samantha/011130.cha	24.0	24.0	257	974	0	0	0	2
Wells/Samantha/020229.cha	26.966666666666665	24.0	127	649	0	0	0	0
Wells/Samantha/020600.cha	30.0	30.0	304	505	0	0	0	1
Wells/Samantha/020903.cha	33.1	33.0	175	220	0	0	0	0
Wells/Samantha/030004.cha	36.13333333333333	36.0	326	501	0	1	1	1
Wells/Samantha/030227.cha	38.9	36.0	395	695	0	2	4	2
Wells/Samantha/030611.cha	42.36666666666667	42.0	457	457	0	2	2	2
Wells/Sean/010611.cha	18.366666666666667	18.0	52	309	0	0	0	0
Wells/Sean/010830.cha	21.0	21.0	53	264	0	0	0	0
Wells/Sean/011129.cha	23.966666666666665	21.0	111	847	0	2	0	1
Wells/Sean/020228.cha	26.933333333333334	24.0	107	269	0	0	0	0
Wells/Sean/020605.cha	30.166666666666668	30.0	144	269	0	0	0	1
Wells/Sean/020904.cha	33.13333333333333	33.0	98	156	0	0	0	0
Wells/Sean/030011.cha	36.36666666666667	36.0	62	165	0	0	0	0
Wells/Sean/030228.cha	38.93333333333333	36.0	146	354	0	0	0	0
Wells/Sean/030609.cha	42.3	42.0	157	373	0	0	0	0
Wells/Sheila/010902.cha	21.066666666666666	21.0	78	340	0	1	0	1
Wells/Sheila/011125.cha	23.833333333333332	21.0	119	529	0	1	0	1
Wells/Sheila/011130.cha	24.0	24.0	79	353	0	0	0	0
Wells/Sheila/020304.cha	27.133333333333333	27.0	143	413	0	1	0	2
Wells/Sheila/020527.cha	29.9	27.0	151	388	0	3	0	1
Wells/Sheila/020900.cha	33.0	33.0	355	430	0	0	0	1
Wells/Sheila/021128.cha	35.93333333333333	33.0	368	445	0	0	0	2
Wells/Sheila/030304.cha	39.13333333333333	39.0	210	292	0	0	0	2
Wells/Sheila/030625.cha	42.833333333333336	42.0	417	337	0	0	0	0
Wells/Simon/010521.cha	17.7	15.0	75	321	0	0	0	0
Wells/Simon/010901.cha	21.033333333333335	21.0	242	249	0	0	0	0
Wells/Simon/010902.cha	21.066666666666666	21.0	113	198	0	0	0	0
Wells/Simon/011113.cha	23.433333333333334	21.0	239	203	0	0	0	0
Wells/Simon/020305.cha	27.166666666666668	27.0	210	252	0	1	0	0
Wells/Simon/020600.cha	30.0	30.0	268	219	2	0	0	0
Wells/Simon/030001.cha	36.03333333333333	36.0	184	153	0	0	0	0
Wells/Simon/030309.cha	39.3	39.0	367	257	1	0	0	0
Wells/Simon/030522.cha	41.733333333333334	39.0	304	212	1	0	0	1
Wells/Stella/010608.cha	18.266666666666666	18.0	31	367	0	0	0	1
Wells/Stella/010903.cha	21.1	21.0	93	523	0	0	0	2
Wells/Stella/020230.cha	27.0	27.0	324	358	0	2	0	2
Wells/Stella/020602.cha	30.066666666666666	30.0	496	336	0	0	1	1
Wells/Stella/020825.cha	32.833333333333336	30.0	490	607	0	2	0	2
Wells/Stella/021127.cha	35.9	33.0	330	336	1	1	1	0
Wells/Stella/030307.cha	39.233333333333334	39.0	777	642	0	0	1	2
Wells/Stella/030530.cha	42.0	42.0	535	281	0	0	3	1
Wells/Tony/010526.cha	17.866666666666667	15.0	76	218	0	0	0	0
Wells/Tony/010826.cha	20.866666666666667	18.0	33	459	0	0	0	0
Wells/Tony/011114.cha	23.466666666666665	21.0	151	509	0	1	0	1
Wells/Tony/020310.cha	27.333333333333332	27.0	323	381	0	0	0	0
Wells/Tony/020526.cha	29.866666666666667	27.0	247	345	0	0	0	1
Wells/Tony/020902.cha	33.06666666666667	33.0	367	160	8	0	0	0
Wells/Tony/021123.cha	35.766666666666666	33.0	284	246	2	0	0	1
Wells/Tony/030321.cha	39.7	39.0	296	618	4	2	0	3
Wells/Tony/030608.cha	42.266666666666666	42.0	486	494	1	1	0	0
